Pais,Confirmados,NConfirmados,MMConfirmados,Obitos,NObitos,MMObitos,Recuperados,Ativos,Data
DE,1,1,0,0,0,0,0,1,2020-01-27
DE,4,3,0,0,0,0,0,4,2020-01-28
DE,4,0,0,0,0,0,0,4,2020-01-29
DE,4,0,0,0,0,0,0,4,2020-01-30
DE,5,1,0,0,0,0,0,5,2020-01-31
DE,8,3,1,0,0,0,0,8,2020-02-01
DE,10,2,1,0,0,0,0,10,2020-02-02
DE,12,2,1,0,0,0,0,12,2020-02-03
DE,12,0,1,0,0,0,0,12,2020-02-04
DE,12,0,1,0,0,0,0,12,2020-02-05
DE,12,0,1,0,0,0,0,12,2020-02-06
DE,13,1,1,0,0,0,0,13,2020-02-07
DE,13,0,0,0,0,0,0,13,2020-02-08
DE,14,1,0,0,0,0,0,14,2020-02-09
DE,14,0,0,0,0,0,0,14,2020-02-10
DE,16,2,0,0,0,0,0,16,2020-02-11
DE,16,0,0,0,0,0,0,16,2020-02-12
DE,16,0,0,0,0,0,1,15,2020-02-13
DE,16,0,0,0,0,0,1,15,2020-02-14
DE,16,0,0,0,0,0,1,15,2020-02-15
DE,16,0,0,0,0,0,1,15,2020-02-16
DE,16,0,0,0,0,0,1,15,2020-02-17
DE,16,0,0,0,0,0,12,4,2020-02-18
DE,16,0,0,0,0,0,12,4,2020-02-19
DE,16,0,0,0,0,0,12,4,2020-02-20
DE,16,0,0,0,0,0,14,2,2020-02-21
DE,16,0,0,0,0,0,14,2,2020-02-22
DE,16,0,0,0,0,0,14,2,2020-02-23
DE,16,0,0,0,0,0,14,2,2020-02-24
DE,17,1,0,0,0,0,14,3,2020-02-25
DE,27,10,1,0,0,0,15,12,2020-02-26
DE,46,19,4,0,0,0,16,30,2020-02-27
DE,48,2,4,0,0,0,16,32,2020-02-28
DE,79,31,9,0,0,0,16,63,2020-02-29
DE,130,51,16,0,0,0,16,114,2020-03-01
DE,159,29,20,0,0,0,16,143,2020-03-02
DE,196,37,25,0,0,0,16,180,2020-03-03
DE,262,66,33,0,0,0,16,246,2020-03-04
DE,482,220,62,0,0,0,16,466,2020-03-05
DE,670,188,88,0,0,0,17,653,2020-03-06
DE,799,129,102,0,0,0,18,781,2020-03-07
DE,1040,241,130,0,0,0,18,1022,2020-03-08
DE,1176,136,145,2,2,0,18,1156,2020-03-09
DE,1457,281,180,2,0,0,18,1437,2020-03-10
DE,1908,451,235,3,1,0,25,1880,2020-03-11
DE,2078,170,228,3,0,0,25,2050,2020-03-12
DE,3675,1597,429,7,4,1,46,3622,2020-03-13
DE,4585,910,540,9,2,1,46,4530,2020-03-14
DE,5795,1210,679,11,2,1,46,5738,2020-03-15
DE,7272,1477,870,17,6,2,67,7188,2020-03-16
DE,9257,1985,1114,24,7,3,67,9166,2020-03-17
DE,12327,3070,1488,28,4,3,105,12194,2020-03-18
DE,15320,2993,1891,44,16,5,113,15163,2020-03-19
DE,19848,4528,2310,67,23,8,180,19601,2020-03-20
DE,22213,2365,2518,84,17,10,233,21896,2020-03-21
DE,24873,2660,2725,94,10,11,266,24513,2020-03-22
DE,29056,4183,3112,123,29,15,266,28667,2020-03-23
DE,32986,3930,3389,157,34,19,3243,29586,2020-03-24
DE,37323,4337,3570,206,49,25,3547,33570,2020-03-25
DE,43938,6615,4088,267,61,31,5673,37998,2020-03-26
DE,50871,6933,4431,342,75,39,6658,43871,2020-03-27
DE,57695,6824,5068,433,91,49,8481,48781,2020-03-28
DE,62095,4400,5317,533,100,62,9211,52351,2020-03-29
DE,66885,4790,5404,645,112,74,13500,52740,2020-03-30
DE,71808,4923,5546,775,130,88,16100,54933,2020-03-31
DE,77872,6064,5792,920,145,102,18700,58252,2020-04-01
DE,84794,6922,5836,1107,187,120,22440,61247,2020-04-02
DE,91159,6365,5755,1275,168,133,24575,65309,2020-04-03
DE,96092,4933,5485,1444,169,144,26400,68248,2020-04-04
DE,100123,4031,5432,1584,140,150,28700,69839,2020-04-05
DE,103374,3251,5212,1810,226,166,28700,72864,2020-04-06
DE,107663,4289,5122,2016,206,177,36081,69566,2020-04-07
DE,113296,5633,5060,2349,333,204,46300,64647,2020-04-08
DE,118181,4885,4769,2607,258,214,52407,63167,2020-04-09
DE,122171,3990,4430,2767,160,213,53913,65491,2020-04-10
DE,124908,2737,4116,2736,-31,184,57400,64772,2020-04-11
DE,127854,2946,3961,3022,286,205,60300,64532,2020-04-12
DE,130072,2218,3814,3194,172,197,64300,62578,2020-04-13
DE,131359,1287,3385,3294,100,182,68200,59865,2020-04-14
DE,134753,3394,3065,3804,510,207,72600,58349,2020-04-15
DE,137698,2945,2788,4052,248,206,77000,56646,2020-04-16
DE,141397,3699,2746,4352,300,226,83114,53931,2020-04-17
DE,143342,1945,2633,4459,107,246,85400,53483,2020-04-18
DE,145184,1842,2475,4586,127,223,88000,52598,2020-04-19
DE,147065,1881,2427,4862,276,238,91500,50703,2020-04-20
DE,148291,1226,2418,5033,171,248,95200,48058,2020-04-21
DE,150648,2357,2270,5279,246,210,99400,45969,2020-04-22
DE,153129,2481,2204,5575,296,217,103300,44254,2020-04-23
DE,154999,1870,1943,5760,185,201,109800,39439,2020-04-24
DE,156513,1514,1881,5877,117,202,109800,40836,2020-04-25
DE,157770,1257,1798,5976,99,198,112000,39794,2020-04-26
DE,158758,988,1670,6126,150,180,114500,38132,2020-04-27
DE,159912,1154,1660,6314,188,183,117400,36198,2020-04-28
DE,161539,1627,1555,6467,153,169,120400,34672,2020-04-29
DE,163009,1470,1411,6623,156,149,123500,32886,2020-04-30
DE,164077,1068,1296,6736,113,139,126900,30441,2020-05-01
DE,164967,890,1207,6812,76,133,129000,29155,2020-05-02
DE,165664,697,1127,6866,54,127,130600,28198,2020-05-03
DE,166152,488,1056,6993,127,123,132700,26459,2020-05-04
DE,167007,855,1013,6993,0,97,135100,24914,2020-05-05
DE,168162,1155,946,7275,282,115,139900,20987,2020-05-06
DE,169430,1268,917,7392,117,109,141700,20338,2020-05-07
DE,170588,1158,930,7510,118,110,141700,21378,2020-05-08
DE,171324,736,908,7549,39,105,143300,20475,2020-05-09
DE,171879,555,887,7569,20,100,144400,19910,2020-05-10
DE,172576,697,917,7661,92,95,145617,19298,2020-05-11
DE,173171,595,880,7738,77,106,147200,18233,2020-05-12
DE,174098,927,848,7861,123,83,148700,17537,2020-05-13
DE,174478,380,721,7884,23,70,150300,16294,2020-05-14
DE,175233,755,663,7897,13,55,151597,15739,2020-05-15
DE,175752,519,632,7938,41,55,152600,15214,2020-05-16
DE,176369,617,641,7962,24,56,154011,14396,2020-05-17
DE,176551,182,567,8003,41,48,155041,13507,2020-05-18
DE,177778,1227,658,8081,78,49,155681,14016,2020-05-19
DE,178473,695,625,8144,63,40,156966,13363,2020-05-20
DE,179021,548,649,8203,59,45,158087,12731,2020-05-21
DE,179710,689,639,8228,25,47,159064,12418,2020-05-22
DE,179986,276,604,8261,33,46,159716,12009,2020-05-23
