Pais,Confirmados,NConfirmados,MMConfirmados,Obitos,NObitos,MMObitos,Recuperados,Ativos,Data
BR,1,1,0,0,0,0,0,1,2020-02-26
BR,1,0,0,0,0,0,0,1,2020-02-27
BR,1,0,0,0,0,0,0,1,2020-02-28
BR,2,1,0,0,0,0,0,2,2020-02-29
BR,2,0,0,0,0,0,0,2,2020-03-01
BR,2,0,0,0,0,0,0,2,2020-03-02
BR,2,0,0,0,0,0,0,2,2020-03-03
BR,4,2,0,0,0,0,0,4,2020-03-04
BR,4,0,0,0,0,0,0,4,2020-03-05
BR,13,9,1,0,0,0,0,13,2020-03-06
BR,13,0,1,0,0,0,0,13,2020-03-07
BR,20,7,2,0,0,0,0,20,2020-03-08
BR,25,5,3,0,0,0,0,25,2020-03-09
BR,31,6,4,0,0,0,0,31,2020-03-10
BR,38,7,4,0,0,0,0,38,2020-03-11
BR,52,14,6,0,0,0,0,52,2020-03-12
BR,151,99,19,0,0,0,0,151,2020-03-13
BR,151,0,19,0,0,0,0,151,2020-03-14
BR,162,11,20,0,0,0,0,162,2020-03-15
BR,200,38,25,0,0,0,1,199,2020-03-16
BR,321,121,41,1,1,0,2,318,2020-03-17
BR,372,51,47,3,2,0,2,367,2020-03-18
BR,621,249,81,6,3,0,2,613,2020-03-19
BR,793,172,91,11,5,1,2,780,2020-03-20
BR,1021,228,124,15,4,2,2,1004,2020-03-21
BR,1546,525,197,25,10,3,2,1519,2020-03-22
BR,1924,378,246,34,9,4,2,1888,2020-03-23
BR,2247,323,275,46,12,6,2,2199,2020-03-24
BR,2554,307,311,59,13,8,2,2493,2020-03-25
BR,2985,431,337,77,18,10,6,2902,2020-03-26
BR,3417,432,374,92,15,11,6,3319,2020-03-27
BR,3904,487,411,111,19,13,6,3787,2020-03-28
BR,4256,352,387,136,25,15,6,4114,2020-03-29
BR,4579,323,379,159,23,17,120,4300,2020-03-30
BR,5717,1138,495,201,42,22,127,5389,2020-03-31
BR,6836,1119,611,240,39,25,127,6469,2020-04-01
BR,8044,1208,722,324,84,35,127,7593,2020-04-02
BR,9056,1012,805,359,35,38,127,8570,2020-04-03
BR,10360,1304,922,445,86,47,127,9788,2020-04-04
BR,11130,770,982,486,41,50,127,10517,2020-04-05
BR,12161,1031,1083,564,78,57,127,11470,2020-04-06
BR,14034,1873,1188,686,122,69,127,13221,2020-04-07
BR,16170,2136,1333,819,133,82,127,15224,2020-04-08
BR,18092,1922,1435,950,131,89,173,16969,2020-04-09
BR,19638,1546,1511,1057,107,99,173,18408,2020-04-10
BR,20727,1089,1481,1124,67,97,173,19430,2020-04-11
BR,22192,1465,1580,1223,99,105,173,20796,2020-04-12
BR,23430,1238,1609,1328,105,109,173,21929,2020-04-13
BR,25262,1832,1604,1532,204,120,3046,20684,2020-04-14
BR,28320,3058,1735,1736,204,131,14026,12558,2020-04-15
BR,30425,2105,1761,1924,188,139,14026,14475,2020-04-16
BR,33682,3257,2006,2141,217,154,14026,17515,2020-04-17
BR,36658,2976,2275,2354,213,175,14026,20278,2020-04-18
BR,38654,1996,2351,2462,108,177,22130,14062,2020-04-19
BR,40743,2089,2473,2587,125,179,22130,16026,2020-04-20
BR,43079,2336,2545,2741,154,172,22991,17347,2020-04-21
BR,45757,2678,2491,2906,165,167,25318,17533,2020-04-22
BR,50036,4279,2801,3331,425,201,26573,20132,2020-04-23
BR,54043,4007,2908,3704,373,223,27655,22684,2020-04-24
BR,59324,5281,3238,4057,353,243,29160,26107,2020-04-25
BR,63100,3776,3492,4286,229,260,30152,28662,2020-04-26
BR,67446,4346,3814,4603,317,288,31142,31701,2020-04-27
BR,73235,5789,4308,5083,480,334,32544,35608,2020-04-28
BR,79685,6450,4846,5513,430,372,34132,40040,2020-04-29
BR,87187,7502,5307,6006,493,382,35935,45246,2020-04-30
BR,92202,5015,5451,6412,406,386,38039,47751,2020-05-01
BR,97100,4898,5396,6761,349,386,40937,49402,2020-05-02
BR,101826,4726,5532,7051,290,395,42991,51784,2020-05-03
BR,108620,6794,5882,7367,316,394,45815,55438,2020-05-04
BR,115455,6835,6031,7938,571,407,48221,59296,2020-05-05
BR,126611,11156,6703,8588,650,439,51370,66653,2020-05-06
BR,135773,9162,6940,9190,602,454,55350,71233,2020-05-07
BR,146894,11121,7813,10017,827,515,59297,77580,2020-05-08
BR,156061,9167,8423,10656,639,556,61685,83720,2020-05-09
BR,162699,6638,8696,11123,467,581,64957,86619,2020-05-10
BR,169594,6895,8710,11653,530,612,67384,90557,2020-05-11
BR,178214,8620,8965,12461,808,646,72597,93156,2020-05-12
BR,190137,11923,9075,13240,779,664,78424,98473,2020-05-13
BR,203165,13028,9627,13999,759,687,79479,109687,2020-05-14
BR,220291,17126,10485,14962,963,706,84970,120359,2020-05-15
BR,233511,13220,11064,15662,700,715,89672,128177,2020-05-16
BR,241080,7569,11197,16118,456,713,94122,130840,2020-05-17
BR,255368,14288,12253,16853,735,742,100459,138056,2020-05-18
BR,271885,16517,13381,17983,1130,788,106794,147108,2020-05-19
BR,291579,19694,14491,18859,876,802,116683,156037,2020-05-20
BR,310087,18508,15274,20047,1188,864,125960,164080,2020-05-21
BR,330890,20803,15799,21048,1001,869,135430,174412,2020-05-22
BR,347398,16508,16269,22013,965,907,142587,182798,2020-05-23
BR,363211,15813,17447,22666,653,935,149911,190634,2020-05-24
BR,374898,11687,17075,23473,807,945,153833,197592,2020-05-25
BR,391222,16324,17048,24512,1039,932,158593,208117,2020-05-26
BR,411821,20599,17177,25598,1086,962,166647,219576,2020-05-27
BR,438238,26417,18307,26754,1156,958,177604,233880,2020-05-28
BR,465166,26928,19182,27878,1124,975,189476,247812,2020-05-29
BR,498440,33274,21577,28834,956,974,200892,268714,2020-05-30
BR,514849,16409,21662,29314,480,949,206555,278980,2020-05-31
BR,526447,11598,21649,29937,623,923,211080,285430,2020-06-01
BR,555383,28936,23451,31199,1262,955,223638,300546,2020-06-02
BR,584016,28633,24599,32548,1349,992,238617,312851,2020-06-03
BR,614941,30925,25243,34021,1473,1038,254963,325957,2020-06-04
BR,645771,30830,25800,35026,1005,1021,266940,343805,2020-06-05
BR,672846,27075,24915,35930,904,1013,277149,359767,2020-06-06
BR,691758,18912,25272,36455,525,1020,283952,371351,2020-06-07
BR,707412,15654,25852,37134,679,1028,378257,292021,2020-06-08
BR,739503,32091,26302,38406,1272,1029,396737,304360,2020-06-09
BR,772416,32913,26914,39680,1274,1018,413916,318820,2020-06-10
BR,802828,30412,26841,40919,1239,985,429965,331944,2020-06-11
BR,828810,25982,26148,41828,909,971,445123,341859,2020-06-12
BR,850514,21704,25381,42720,892,970,459436,348358,2020-06-13
BR,867624,17110,25123,43332,612,982,469141,355151,2020-06-14
BR,888271,20647,25837,43959,627,975,477709,366603,2020-06-15
